clnt_tenure_yr,Average Time (seconds),Variation
2,271.5128205128205,Test
3,306.38461538461536,Test
4,360.412285012285,Test
5,376.7643772592836,Test
6,359.93210888816003,Test
7,363.35146252285193,Test
8,351.89941144997323,Test
9,350.27096327096325,Test
10,382.3639846743295,Test
11,418.56919275123556,Test
12,372.0434210526316,Test
13,363.5107958050586,Test
14,367.2581620314389,Test
15,386.99562469615944,Test
16,380.82493806771265,Test
17,342.13461538461536,Test
18,381.2183486238532,Test
19,399.28793774319064,Test
20,384.9547445255474,Test
21,392.77151051625236,Test
22,344.9696048632219,Test
23,445.8297491039427,Test
24,442.10714285714283,Test
25,341.1267605633803,Test
26,402.241610738255,Test
27,403.3344370860927,Test
28,370.69154228855723,Test
29,364.3720930232558,Test
30,343.04605263157896,Test
31,741.0793650793651,Test
32,364.9012345679012,Test
33,425.65686274509807,Test
34,280.4096385542169,Test
35,319.58,Test
36,359.1111111111111,Test
37,433.85714285714283,Test
38,179.0,Test
39,445.14285714285717,Test
2,296.74418604651163,Control
3,385.80213903743316,Control
4,319.71260997067446,Control
5,329.4502427184466,Control
6,328.6573795180723,Control
7,332.87707468879665,Control
8,319.2822695035461,Control
9,353.6466926070039,Control
10,331.9289145052834,Control
11,350.7813653136531,Control
12,328.43185185185183,Control
13,321.2699926632429,Control
14,344.2748201438849,Control
15,336.9502923976608,Control
16,337.9169110459433,Control
17,339.418018018018,Control
18,345.0607843137255,Control
19,381.04008908685967,Control
20,352.0175438596491,Control
21,362.92280701754385,Control
22,359.679012345679,Control
23,375.53333333333336,Control
24,350.9614243323442,Control
25,303.96407185628743,Control
26,358.2895752895753,Control
27,343.95910780669146,Control
28,345.11206896551727,Control
29,351.0406504065041,Control
30,397.7226890756302,Control
31,306.07042253521126,Control
32,357.5810810810811,Control
33,324.4788732394366,Control
34,400.03125,Control
35,533.95,Control
36,275.7647058823529,Control
37,455.125,Control
38,212.04545454545453,Control
39,561.25,Control
